Time,Flow,Stage
2015-06-01 00:00:00,439000.0,26.79
2015-06-01 01:00:00,461498.190773,26.78
2015-06-01 02:00:00,456635.912296,26.75
2015-06-01 03:00:00,465548.80879,26.78
2015-06-01 04:00:00,458729.326328,26.76
2015-06-01 05:00:00,468901.363174,26.77
2015-06-01 06:00:00,454694.216706,26.71
2015-06-01 07:00:00,456286.470372,26.64
2015-06-01 08:00:00,454452.526452,26.58
2015-06-01 09:00:00,466572.998485,26.66
2015-06-01 10:00:00,443664.098537,26.49
2015-06-01 11:00:00,467822.443045,26.56
2015-06-01 12:00:00,450439.642001,26.55
2015-06-01 13:00:00,455114.177768,26.49
2015-06-01 14:00:00,455842.95664,26.47
2015-06-01 15:00:00,455920.285506,26.45
2015-06-01 16:00:00,445539.938544,26.33
2015-06-01 17:00:00,450317.12458,26.26
2015-06-01 18:00:00,445491.747863,26.17
2015-06-01 19:00:00,456418.928074,26.19
2015-06-01 20:00:00,436050.658188,26.02
2015-06-01 21:00:00,437075.20106,25.85
2015-06-01 22:00:00,455654.122802,25.92
2015-06-01 23:00:00,450057.666787,25.95
2015-06-02 00:00:00,439761.588149,25.83
2015-06-02 01:00:00,453399.790168,25.87
2015-06-02 02:00:00,443651.97347,25.83
2015-06-02 03:00:00,441423.740505,25.75
2015-06-02 04:00:00,444188.169121,25.71
2015-06-02 05:00:00,433141.045865,25.57
2015-06-02 06:00:00,440242.488794,25.51
2015-06-02 07:00:00,439911.973454,25.48
2015-06-02 08:00:00,430917.802609,25.34
2015-06-02 09:00:00,442238.712025,25.34
2015-06-02 10:00:00,437042.283956,25.31
2015-06-02 11:00:00,438999.364315,25.28
2015-06-02 12:00:00,433331.126403,25.21
2015-06-02 13:00:00,438456.694769,25.19
2015-06-02 14:00:00,428691.871088,25.08
2015-06-02 15:00:00,433136.451887,25.02
2015-06-02 16:00:00,430075.994413,24.95
2015-06-02 17:00:00,434345.420736,24.93
2015-06-02 19:00:00,410326.658258,24.66
2015-06-02 20:00:00,442726.170455,24.75
2015-06-02 21:00:00,426214.98506,24.72
2015-06-02 22:00:00,427028.255867,24.64
2015-06-02 23:00:00,430240.210345,24.63
2015-06-03 00:00:00,429819.959133,24.62
2015-06-03 01:00:00,419421.873541,24.49
2015-06-03 02:00:00,427361.880411,24.47
2015-06-03 03:00:00,433115.760557,24.48
2015-06-03 04:00:00,420581.052806,24.4
2015-06-03 05:00:00,424079.401769,24.34
2015-06-03 06:00:00,418675.95936,24.26
2015-06-03 07:00:00,431457.691111,24.27
2015-06-03 08:00:00,420627.419058,24.23
2015-06-03 09:00:00,416082.276607,24.11
2015-06-03 10:00:00,418371.872281,24.05
2015-06-03 11:00:00,418251.290851,24.01
2015-06-03 12:00:00,414873.166759,23.93
2015-06-03 13:00:00,414774.473712,23.86
2015-06-03 14:00:00,420260.816917,23.87
2015-06-03 15:00:00,405593.47297,23.71
2015-06-03 16:00:00,421342.959292,23.73
2015-06-03 17:00:00,407849.941646,23.64
2015-06-03 18:00:00,412135.07509,23.57
2015-06-03 19:00:00,409683.296429,23.56
2015-06-03 20:00:00,404702.429291,23.43
2015-06-03 21:00:00,411154.883561,23.41
2015-06-03 22:00:00,415909.054035,23.45
2015-06-03 23:00:00,401872.072444,23.32
2015-06-04 00:00:00,413731.95393,23.33
2015-06-04 01:00:00,403822.55202,23.25
2015-06-04 02:00:00,411492.034998,23.25
2015-06-04 03:00:00,409660.915293,23.25
2015-06-04 04:00:00,406103.714404,23.19
2015-06-04 05:00:00,407506.848209,23.17
2015-06-04 06:00:00,404603.925925,23.11
2015-06-04 07:00:00,411079.801666,23.14
2015-06-04 08:00:00,404535.503692,23.1
2015-06-04 09:00:00,404378.775896,23.04
2015-06-04 10:00:00,409622.291278,23.07
2015-06-04 11:00:00,402919.375044,23.02
2015-06-04 12:00:00,398104.120018,22.9
2015-06-04 13:00:00,402103.381079,22.86
2015-06-04 14:00:00,407337.003092,22.89
2015-06-04 15:00:00,408368.528906,22.94
2015-06-04 16:00:00,401329.70663,22.88
2015-06-04 17:00:00,393967.273059,22.74
2015-06-04 18:00:00,408382.13239,22.8
2015-06-04 19:00:00,398758.009247,22.75
2015-06-04 20:00:00,403428.60951,22.74
2015-06-04 21:00:00,398140.896975,22.69
2015-06-04 22:00:00,404327.94882,22.71
2015-06-04 23:00:00,399625.402602,22.68
2015-06-05 00:00:00,401924.97513,22.67
2015-06-05 01:00:00,402426.301475,22.68
2015-06-05 02:00:00,396219.76484,22.61
2015-06-05 03:00:00,396590.00849,22.55
2015-06-05 04:00:00,399416.851112,22.54
2015-06-05 05:00:00,397615.163835,22.51
2015-06-05 06:00:00,400670.798274,22.52
2015-06-05 07:00:00,398797.009793,22.51
2015-06-05 08:00:00,405682.63125,22.58
2015-06-05 09:00:00,395495.606462,22.57
2015-06-05 10:00:00,411806.903691,22.69
2015-06-05 11:00:00,399787.251537,22.68
2015-06-05 12:00:00,403304.625296,22.68
2015-06-05 13:00:00,401698.467475,22.68
2015-06-05 14:00:00,400072.167698,22.65
2015-06-05 15:00:00,402654.655904,22.66
2015-06-05 16:00:00,403764.956486,22.69
2015-06-05 17:00:00,413779.51421,22.83
2015-06-05 18:00:00,396924.731576,22.75
2015-06-05 19:00:00,397431.627433,22.66
2015-06-05 20:00:00,405547.587181,22.71
2015-06-05 21:00:00,410332.387933,22.81
2015-06-05 22:00:00,395656.193456,22.72
2015-06-05 23:00:00,406713.030205,22.74
2015-06-06 00:00:00,408355.403693,22.82
2015-06-06 01:00:00,406963.522881,22.86
2015-06-06 02:00:00,403346.324576,22.84
2015-06-06 03:00:00,406330.981948,22.86
2015-06-06 04:00:00,410961.699535,22.94
2015-06-06 05:00:00,409104.968143,22.98
2015-06-06 06:00:00,413329.417137,23.06
2015-06-06 07:00:00,410220.975823,23.1
2015-06-06 08:00:00,419486.89664,23.23
2015-06-06 09:00:00,411437.745124,23.26
2015-06-06 10:00:00,421094.000979,23.37
2015-06-06 11:00:00,415555.909205,23.42
2015-06-06 12:00:00,426095.94099,23.57
2015-06-06 13:00:00,421356.927533,23.66
2015-06-06 14:00:00,420809.141436,23.71
2015-06-06 15:00:00,423192.28869,23.78
2015-06-06 16:00:00,421058.952737,23.81
2015-06-06 17:00:00,426469.069415,23.9
2015-06-06 18:00:00,404010.702332,23.72
2015-06-06 19:00:00,424346.464227,23.77
2015-06-06 20:00:00,438447.843148,24.04
2015-06-06 21:00:00,445143.063458,24.34
2015-06-06 22:00:00,433266.109975,24.43
2015-06-06 23:00:00,444979.485172,24.61
2015-06-07 00:00:00,436012.291502,24.69
2015-06-07 01:00:00,435038.843111,24.72
2015-06-07 02:00:00,442812.556526,24.84
2015-06-07 03:00:00,454576.559746,25.09
2015-06-07 04:00:00,448859.62954,25.23
2015-06-07 05:00:00,434556.303616,25.22
2015-06-07 06:00:00,452756.441759,25.34
2015-06-07 07:00:00,446091.218703,25.42
2015-06-07 08:00:00,438628.702067,25.37
2015-06-07 09:00:00,460239.31271,25.56
2015-06-07 10:00:00,435386.169707,25.49
2015-06-07 11:00:00,465109.072816,25.69
2015-06-07 12:00:00,450469.938459,25.77
2015-06-07 13:00:00,453682.947028,25.82
2015-06-07 14:00:00,444788.771041,25.79
2015-06-07 15:00:00,462776.306568,25.94
2015-06-07 16:00:00,454721.739618,26.02
2015-06-07 17:00:00,461349.366509,26.12
2015-06-07 18:00:00,463273.91082,26.24
2015-06-07 19:00:00,439407.566095,26.08
2015-06-07 20:00:00,465831.361711,26.2
2015-06-07 21:00:00,448324.601242,26.18
2015-06-07 22:00:00,466468.486355,26.29
2015-06-07 23:00:00,441701.837493,26.17
2015-06-08 00:00:00,474495.704141,26.36
2015-06-08 01:00:00,458525.31734,26.43
2015-06-08 02:00:00,472204.143346,26.57
2015-06-08 03:00:00,452272.966502,26.51
2015-06-08 04:00:00,471643.895833,26.63
2015-06-08 05:00:00,479286.710554,26.87
2015-06-08 06:00:00,466619.35896,26.91
2015-06-08 07:00:00,480627.846006,27.07
2015-06-08 08:00:00,462554.085928,27.04
2015-06-08 09:00:00,478477.949218,27.15
2015-06-08 10:00:00,471364.790887,27.21
2015-06-08 11:00:00,481355.385251,27.34
2015-06-08 12:00:00,478809.960659,27.44
2015-06-08 13:00:00,477054.768671,27.49
2015-06-08 14:00:00,472947.863079,27.49
2015-06-08 15:00:00,482008.118773,27.58
2015-06-08 16:00:00,484138.342274,27.7
2015-06-08 18:00:00,479001.075799,27.73
2015-06-08 19:00:00,485023.848623,27.82
2015-06-08 20:00:00,477923.808825,27.83
2015-06-08 21:00:00,483546.258787,27.88
2015-06-08 22:00:00,485187.747395,27.95
2015-06-08 23:00:00,491507.312185,28.08
2015-06-09 00:00:00,485700.28368,28.13
2015-06-09 01:00:00,488700.146023,28.19
2015-06-09 02:00:00,496579.646324,28.33
2015-06-09 03:00:00,488613.245004,28.37
2015-06-09 04:00:00,495100.022928,28.46
2015-06-09 06:00:00,501960.580832,28.62
2015-06-09 07:00:00,494693.955463,28.68
2015-06-09 08:00:00,504611.251474,28.81
2015-06-09 09:00:00,491532.122949,28.81
2015-06-09 10:00:00,503370.456412,28.9
2015-06-09 11:00:00,499184.542126,28.97
2015-06-09 12:00:00,497288.515804,28.99
2015-06-09 13:00:00,501461.585584,29.05
2015-06-09 14:00:00,495912.650868,29.05
2015-06-09 15:00:00,509589.991271,29.17
2015-06-09 16:00:00,503979.362124,29.25
2015-06-09 17:00:00,503527.092153,29.28
2015-06-09 18:00:00,501606.458597,29.3
2015-06-09 21:00:00,522010.852489,29.52
2015-06-09 22:00:00,504072.337517,29.54
2015-06-09 23:00:00,507557.408251,29.56
2015-06-10 00:00:00,513738.181062,29.66
2015-06-10 01:00:00,500004.54587,29.61
2015-06-10 03:00:00,521936.872418,29.76
2015-06-10 04:00:00,516206.072548,29.88
2015-06-10 05:00:00,514089.499488,29.92
2015-06-10 06:00:00,512613.940785,29.95
2015-06-10 07:00:00,507871.841769,29.92
2015-06-10 08:00:00,517971.743552,30.0
2015-06-10 09:00:00,513410.659909,30.03
2015-06-10 10:00:00,516304.90391,30.07
