S,A,P,T,R
-4.58,30370,1536,1529,19.86265533
-4.57,30385,1536,1529,19.87246566
-4.56,30401,1536,1529,19.88293002
-4.55,30416,1537,1529,19.89274035
-4.54,30431,1537,1529,19.90255069
-4.53,30447,1537,1529,19.91301504
-4.52,30462,1537,1529,19.92282538
-4.51,30477,1537,1529,19.93263571
-4.5,30493,1537,1530,19.93006536
-4.49,30508,1537,1530,19.93986928
-4.48,30523,1537,1530,19.9496732
-4.47,30539,1537,1530,19.96013072
-4.46,30554,1538,1530,19.96993464
-4.45,30569,1538,1530,19.97973856
-4.44,30584,1538,1530,19.98954248
-4.43,30600,1538,1530,20
-4.42,30615,1538,1530,20.00980392
-4.41,30630,1538,1531,20.00653168
-4.4,30646,1538,1531,20.01698236
-4.39,30661,1538,1531,20.02677988
-4.38,30676,1538,1531,20.0365774
-4.37,30692,1538,1531,20.04702809
-4.36,30707,1539,1531,20.0568256
-4.35,30722,1539,1531,20.06662312
-4.34,30738,1539,1531,20.07707381
-4.33,30753,1539,1531,20.08687133
-4.32,30768,1539,1532,20.08355091
-4.31,30784,1539,1532,20.09399478
-4.3,30799,1539,1532,20.1037859
-4.29,30814,1539,1532,20.11357702
-4.28,30830,1539,1532,20.12402089
-4.27,30845,1540,1532,20.13381201
-4.26,30860,1540,1532,20.14360313
-4.25,30876,1540,1532,20.154047
-4.24,30891,1540,1532,20.16383812
-4.23,30906,1540,1532,20.17362924
-4.22,30922,1540,1533,20.17090672
-4.21,30937,1540,1533,20.18069145
-4.2,30952,1540,1533,20.19047619
-4.19,30968,1540,1533,20.20091324
-4.18,30983,1541,1533,20.21069798
-4.17,30998,1541,1533,20.22048271
-4.16,31014,1541,1533,20.23091977
-4.15,31029,1541,1533,20.2407045
-4.14,31044,1541,1533,20.25048924
-4.13,31060,1541,1534,20.24771838
-4.12,31075,1541,1534,20.25749674
-4.11,31091,1541,1534,20.26792699
-4.1,31106,1541,1534,20.27770535
-4.09,31121,1542,1534,20.2874837
-4.08,31137,1542,1534,20.29791395
-4.07,31152,1542,1534,20.30769231
-4.06,31167,1542,1534,20.31747066
-4.05,31183,1542,1534,20.32790091
-4.04,31198,1542,1534,20.33767927
-4.03,31213,1542,1535,20.33420195
-4.02,31229,1542,1535,20.34462541
-4.01,31244,1542,1535,20.35439739
-4,31259,1542,1535,20.36416938
-3.99,31275,1543,1535,20.37459283
-3.98,31290,1543,1535,20.38436482
-3.97,31306,1543,1535,20.39478827
-3.96,31321,1543,1535,20.40456026
-3.95,31336,1543,1535,20.41433225
-3.94,31352,1543,1536,20.41145833
-3.93,31367,1543,1536,20.42122396
-3.92,31382,1543,1536,20.43098958
-3.91,31398,1543,1536,20.44140625
-3.9,31413,1544,1536,20.45117188
-3.89,31429,1544,1536,20.46158854
-3.88,31444,1544,1536,20.47135417
-3.87,31459,1544,1536,20.48111979
-3.86,31475,1544,1536,20.49153646
-3.85,31490.1,1544,1536,20.50136719
-3.84,31505.1,1544,1537,20.4977879
-3.83,31521.1,1544,1537,20.50819779
-3.82,31536.1,1544,1537,20.51795706
-3.81,31552.1,1545,1537,20.52836695
-3.8,31567.1,1545,1537,20.53812622
-3.79,31582.1,1545,1537,20.54788549
-3.78,31598.1,1545,1537,20.55829538
-3.77,31613.1,1545,1537,20.56805465
-3.76,31628.1,1545,1537,20.57781392
-3.75,31644.1,1545,1538,20.57483745
-3.74,31659.1,1545,1538,20.58459038
-3.73,31675.1,1545,1538,20.5949935
-3.72,31690.1,1545,1538,20.60474642
-3.71,31705.1,1546,1538,20.61449935
-3.7,31721.1,1546,1538,20.62490247
-3.69,31736.1,1546,1538,20.6346554
-3.68,31752.1,1546,1538,20.64505852
-3.67,31767.1,1546,1538,20.65481144
-3.66,31782.1,1546,1538,20.66456437
-3.65,31798.1,1546,1539,20.66153346
-3.64,31813.1,1546,1539,20.67128005
-3.63,31829.1,1546,1539,20.68167641
-3.62,31844.1,1547,1539,20.691423
-3.61,31859.1,1547,1539,20.70116959
-3.6,31875.1,1547,1539,20.71156595
-3.59,31890.1,1547,1539,20.72131254
-3.58,31906.1,1547,1539,20.7317089
-3.57,31921.1,1547,1539,20.74145549
-3.56,31936.1,1547,1540,20.73772727
-3.55,31952.1,1547,1540,20.74811688
-3.54,31967.1,1547,1540,20.75785714
-3.53,31983.1,1548,1540,20.76824675
-3.52,31998.1,1548,1540,20.77798701
-3.51,32014.1,1548,1540,20.78837662
-3.5,32029.1,1548,1540,20.79811688
-3.49,32044.1,1548,1540,20.80785714
-3.48,32060.1,1548,1540,20.81824675
-3.47,32075.1,1548,1540,20.82798701
-3.46,32091.1,1548,1541,20.82485399
-3.45,32106.1,1548,1541,20.83458793
-3.44,32121.1,1548,1541,20.84432187
-3.43,32137.1,1549,1541,20.85470474
-3.42,32152.1,1549,1541,20.86443868
-3.41,32168.1,1549,1541,20.87482154
-3.4,32183.1,1549,1541,20.88455548
-3.39,32199.1,1549,1541,20.89493835
-3.38,32214.1,1549,1541,20.90467229
-3.37,32229.1,1549,1542,20.90084306
-3.36,32245.1,1549,1542,20.9112192
-3.35,32260.1,1549,1542,20.92094682
-3.34,32276.1,1550,1542,20.93132296
-3.33,32291.1,1550,1542,20.94105058
-3.32,32307.1,1550,1542,20.95142672
-3.31,32322.1,1550,1542,20.96115435
-3.3,32338.1,1550,1542,20.97153048
-3.29,32353.1,1550,1542,20.98125811
-3.28,32368.1,1550,1542,20.99098573
-3.27,32384.1,1550,1543,20.98775113
-3.26,32399.1,1550,1543,20.99747246
-3.25,32415.1,1551,1543,21.00784187
